danceability,energy,speechiness,instrumentalness,liveness,valence,tempo,duration_min,release_year,key,mode,time_signature,playlist_genre,track_popularity,label_kaggle
0.776,0.525,0.137,0.0,0.108,0.467,75.013,3.6268833333333332,2024.0,1.0,1.0,4.0,hip-hop,70,1
0.427,0.5,0.141,0.0,0.127,0.269,63.925,3.0,2024.0,0.0,1.0,5.0,hip-hop,76,1
0.731,0.586,0.172,0.0,0.0987,0.147,125.845,3.3194166666666667,2024.0,1.0,0.0,4.0,hip-hop,77,1
0.64,0.552,0.129,0.0,0.119,0.112,144.941,3.80445,2024.0,2.0,1.0,4.0,hip-hop,84,1
0.898,0.472,0.0776,0.0,0.141,0.214,101.061,4.569866666666667,2024.0,1.0,1.0,4.0,hip-hop,88,1
0.77,0.859,0.275,0.0,0.673,0.64,129.77,3.45455,2024.0,10.0,0.0,4.0,hip-hop,85,1
0.731,0.685,0.12,0.0,0.0865,0.458,121.991,2.78715,2024.0,11.0,0.0,4.0,hip-hop,72,1
0.916,0.578,0.124,0.00402,0.113,0.192,124.005,2.6649,2024.0,11.0,1.0,4.0,hip-hop,74,1
0.694,0.574,0.0483,0.0,0.082,0.286,146.007,2.105933333333333,2024.0,1.0,0.0,4.0,hip-hop,79,1
0.902,0.867,0.225,0.0,0.142,0.799,131.041,2.205633333333333,2024.0,10.0,0.0,4.0,hip-hop,68,1
0.637,0.692,0.164,0.0,0.345,0.427,140.203,2.7394333333333334,2024.0,1.0,0.0,4.0,hip-hop,73,1
0.675,0.478,0.512,7.8e-06,0.127,0.39,104.563,3.504766666666667,2024.0,1.0,1.0,4.0,hip-hop,69,1
0.661,0.878,0.31,0.0,0.381,0.514,82.557,2.756883333333333,2024.0,1.0,1.0,4.0,hip-hop,87,1
0.726,0.396,0.283,0.0,0.527,0.413,78.022,3.2904666666666667,2024.0,5.0,0.0,4.0,hip-hop,73,1
0.974,0.711,0.194,3.92e-05,0.0888,0.328,117.038,2.1138666666666666,2024.0,11.0,0.0,4.0,hip-hop,72,1
0.824,0.527,0.118,0.0,0.368,0.212,77.499,2.58985,2024.0,8.0,1.0,4.0,hip-hop,74,1
0.638,0.752,0.0385,0.734,0.17,0.242,158.042,2.8364666666666665,2024.0,1.0,0.0,4.0,hip-hop,72,1
0.654,0.826,0.354,0.00146,0.131,0.417,108.52,4.27045,2003.0,6.0,0.0,5.0,hip-hop,71,1
0.898,0.472,0.0776,0.0,0.141,0.214,101.061,4.569866666666667,2024.0,1.0,1.0,4.0,hip-hop,88,1
0.882,0.764,0.204,0.0,0.119,0.886,140.113,2.34555,2024.0,11.0,1.0,4.0,hip-hop,81,1
0.64,0.552,0.129,0.0,0.119,0.112,144.941,3.80445,2024.0,2.0,1.0,4.0,hip-hop,84,1
0.848,0.632,0.277,0.0,0.282,0.253,123.987,2.8533,2023.0,2.0,1.0,4.0,hip-hop,68,1
0.548,0.805,0.351,0.000405,0.408,0.649,142.096,3.60645,2019.0,7.0,1.0,4.0,hip-hop,76,1
0.772,0.631,0.0431,0.0,0.129,0.433,121.854,2.88755,2023.0,10.0,1.0,4.0,hip-hop,70,1
